incident_id,comment_seq,comment_div,comment_by,comment_date,comment
SMPL-001654,0,新規登録,通常User0289,2023/11/28,XXXX
SMPL-001654,1,発信者へ差戻し,通常User0703,2023/11/29,XXXX
SMPL-001654,2,回答承認,通常User0290,2024/1/17,XXXX
SMPL-001654,3,クローズ,通常User0703,2024/1/17,XXXX
SMPL-001661,0,新規登録,通常User0180,2023/9/15,XXXX
SMPL-001661,1,発信者へ差戻し,DWHUser0053,2023/9/20,XXXX
SMPL-001661,2,再質問,通常User0249,2023/9/25,XXXX
SMPL-001661,3,発信者へ差戻し,DWHUser0053,2023/9/25,XXXX
SMPL-001661,4,再質問,通常User0249,2023/10/3,XXXX
SMPL-001661,5,再質問,通常User0249,2023/10/12,XXXX
SMPL-001661,6,発信者へ差戻し,DWHUser0053,2023/10/12,XXXX
SMPL-001661,7,再質問,通常User0249,2023/10/17,XXXX
SMPL-001661,8,再質問,通常User0249,2023/11/6,XXXX
SMPL-001661,9,再質問,通常User0249,2023/11/21,XXXX
SMPL-001661,10,発信者へ差戻し,通常User0404,2023/11/29,XXXX
SMPL-001661,11,再質問,通常User0249,2023/12/5,XXXX
SMPL-001661,12,中間回答,通常User0404,2023/12/6,XXXX
SMPL-001661,13,発信者へ差戻し,DWHUser0053,2023/12/8,XXXX
SMPL-001661,14,再質問,通常User0249,2023/12/12,XXXX
SMPL-001661,15,発信者へ差戻し,DWHUser0053,2023/12/18,XXXX
SMPL-001661,16,再質問,通常User0249,2024/1/26,XXXX
SMPL-001661,17,発信者へ差戻し,DWHUser0053,2024/1/29,XXXX
SMPL-001661,18,再質問,通常User0249,2024/2/5,XXXX
SMPL-001661,19,再質問,通常User0249,2024/2/13,XXXX
SMPL-001661,20,発信者へ差戻し,DWHUser0053,2024/2/14,XXXX
SMPL-001661,21,再質問,通常User0249,2024/2/21,XXXX
SMPL-001661,22,発信者へ差戻し,DWHUser0053,2024/2/22,XXXX
SMPL-001661,23,再質問,通常User0249,2024/2/27,XXXX
SMPL-001661,24,発信者へ差戻し,DWHUser0053,2024/2/28,XXXX
SMPL-001661,25,発信者へ差戻し,DWHUser0055,2024/5/15,XXXX
SMPL-001661,26,再質問,通常User0249,2024/5/16,XXXX
SMPL-001661,27,再質問,通常User0249,2024/5/16,XXXX
SMPL-001661,28,発信者へ差戻し,DWHUser0053,2024/5/16,XXXX
SMPL-001661,29,中間回答,DWHUser0053,2024/5/23,XXXX
SMPL-001661,30,再質問,通常User0249,2024/6/4,XXXX
SMPL-001661,31,中間回答,DWHUser0053,2024/6/18,XXXX
SMPL-001661,32,中間回答,DWHUser0053,2024/7/11,XXXX
SMPL-001661,33,発信者へ差戻し,DWHUser0053,2024/11/25,XXXX
SMPL-001661,34,発信者へ差戻し,DWHUser0799,2025/1/15,※回答カテゴリ：発信者に差戻し　かつ　更新日：1か月以上　のQAへ連絡。　継続の場合、期限内にコメントをお願いいたします。お世話になっております。その後の状況は如何でしょうか。2025年1月28日までにご連絡がない場合、本QAをクローズさせていただきます。以上、よろしくお願い致します。
SMPL-001661,35,クローズ,DWHUser0799,2025/1/29,お世話になっております。期限の2025年1月28日を過ぎましたが、ご連絡がありませんでしたので誠に勝手ながら本件はクローズさせていただきます。問題が解決していない場合には、お手数ですが新規QA登録をお願い致します。
SMPL-001676,0,新規登録,通常User0363,2023/12/20,XXXX
SMPL-001676,1,発信者へ差戻し,DWHUser0061,2023/12/21,XXXX
SMPL-001676,2,発信者へ差戻し,DWHUser0055,2024/3/15,お世話になっております。本件、対応完了とさせていただいてよろしいでしょうか。2024年3月28日までにご連絡がない場合、本QAをクローズさせていただきます。以上、よろしくお願い致します。
SMPL-001676,3,クローズ,DWHUser0055,2024/4/1,お世話になっております。期限の2024年3月28日を過ぎましたが、ご連絡がありませんでしたので、誠に勝手ながら本件はクローズさせていただきます。問題が解決していない場合には、お手数ですが新規QA登録をお願い致します。
SMPL-001682,0,新規登録,通常User0155,2023/12/28,XXXX
SMPL-001682,1,着手報告回答,通常User0557,2023/12/28,XXXX
SMPL-001682,2,発信者へ差戻し,DWHUser0061,2023/12/28,XXXX
SMPL-001682,3,再質問,通常User0115,2024/1/19,XXXX
SMPL-001682,4,発信者へ差戻し,DWHUser0061,2024/1/22,XXXX
SMPL-001682,5,再質問,通常User0115,2024/1/23,XXXX
SMPL-001682,6,発信者へ差戻し,DWHUser0061,2024/1/23,XXXX
SMPL-001682,7,再質問,通常User0115,2024/1/24,XXXX
SMPL-001682,8,発信者へ差戻し,DWHUser0061,2024/1/24,XXXX
SMPL-001682,9,再質問,通常User0115,2024/1/25,XXXX
SMPL-001682,10,発信者へ差戻し,DWHUser0061,2024/1/26,XXXX
SMPL-001682,11,再質問,通常User0115,2024/1/26,XXXX
SMPL-001682,12,発信者へ差戻し,DWHUser0061,2024/1/29,XXXX
SMPL-001682,13,再質問,通常User0115,2024/1/29,XXXX
SMPL-001682,14,発信者へ差戻し,DWHUser0061,2024/1/29,XXXX
SMPL-001682,15,再質問,通常User0115,2024/1/30,XXXX
SMPL-001682,16,発信者へ差戻し,DWHUser0061,2024/1/31,XXXX
SMPL-001682,17,再質問,通常User0115,2024/2/8,XXXX
SMPL-001682,18,発信者へ差戻し,DWHUser0061,2024/2/8,XXXX
SMPL-001682,19,再質問,通常User0115,2024/2/8,XXXX
SMPL-001682,20,発信者へ差戻し,DWHUser0061,2024/2/9,XXXX
SMPL-001682,21,再質問,通常User0115,2024/2/9,XXXX
SMPL-001682,22,発信者へ差戻し,DWHUser0061,2024/2/9,XXXX
SMPL-001682,23,再質問,通常User0115,2024/2/13,XXXX
SMPL-001682,24,発信者へ差戻し,DWHUser0061,2024/2/13,XXXX
SMPL-001682,25,再質問,通常User0115,2024/2/13,XXXX
SMPL-001682,26,発信者へ差戻し,DWHUser0061,2024/2/14,XXXX
SMPL-001682,27,再質問,通常User0115,2024/2/14,XXXX
SMPL-001682,28,発信者へ差戻し,DWHUser0061,2024/2/16,XXXX
SMPL-001682,29,再質問,通常User0115,2024/2/19,XXXX
SMPL-001682,30,発信者へ差戻し,DWHUser0061,2024/2/20,XXXX
SMPL-001682,31,回答承認,通常User0115,2024/2/20,XXXX
SMPL-001695,0,新規登録,通常User0828,2024/1/19,XXXX
SMPL-001695,1,発信者へ差戻し,DWHUser0053,2024/1/19,XXXX
SMPL-001695,2,回答承認,通常User0829,2024/1/19,XXXX
SMPL-001706,0,新規登録,通常User0347,2024/1/23,XXXX
SMPL-001706,1,着手報告回答,通常User0557,2024/1/23,XXXX
SMPL-001706,2,発信者へ差戻し,通常User0703,2024/1/30,XXXX
SMPL-001706,3,再質問,通常User0299,2024/1/31,XXXX
SMPL-001706,4,完了回答,通常User0703,2024/1/31,XXXX
SMPL-001706,5,回答承認,通常User0299,2024/1/31,XXXX
SMPL-001706,6,クローズ,通常User0703,2024/1/31,XXXX
SMPL-001712,0,新規登録,通常User0119,2024/1/30,XXXX
SMPL-001712,1,着手報告回答,通常User0557,2024/1/30,XXXX
SMPL-001712,2,発信者へ差戻し,DWHUser0061,2024/1/31,XXXX
