"comment_div","ball_on","is_closer","is_approver","is_patch_planned","is_response"
"新規登録","dev",0,0,0,0
"着手報告回答","dev",0,0,0,1
"発信者へ差戻し","field",0,0,0,1
"暫定対処回答","field",0,0,0,1
"資料採取依頼","field",0,0,0,1
"対処方法回答","field",0,0,0,1
"検証依頼","field",0,0,0,1
"状況確認","field",0,0,0,1
"中間回答","dev",0,0,1,1
"出荷要回答","dev",0,0,1,1
"完了回答","field",1,0,0,1
"完了へ直接変更","filed",1,0,0,1
"クローズ","field",1,0,0,1
"再質問","dev",0,0,0,0
"回答者へ差戻し","dev",0,0,0,0
"回答","dev",0,0,0,1
"完了依頼","dev",0,0,0,0
"回答承認","dev",0,1,0,0
"コメント","unknown",0,0,0,0
"others","unknown",0,0,0,0
